Date,SPY,VOO,IVV,VTI,XLG,QQQ,VUG,IWF,IWM,VEA,VXUS,VWO,IEMG,IEFA,IJH,VO,IJR,VTV,VIG,SCHD,RSP,XLK,XLE,XLF,VGT
2015-11-23,176.6670379638672,161.31246948242188,177.3931121826172,90.59713745117188,12.81882381439209,105.98358154296875,100.61720275878906,92.95664978027344,103.01731872558594,28.02470588684082,34.67790222167969,26.431686401367188,32.296356201171875,41.58550262451172,24.924663543701172,105.69973754882812,49.370487213134766,64.3031005859375,65.1103286743164,9.37966251373291,66.43899536132812,39.12297439575195,44.865333557128906,16.52227210998535,101.25536346435547
2015-11-24,176.90367126464844,161.5733184814453,177.646240234375,90.83399200439453,12.830141067504883,105.89073944091797,100.67215728759766,92.96575164794922,103.77201080322266,28.061880111694336,34.744930267333984,26.499788284301758,32.42626953125,41.57803726196289,25.093124389648438,106.04206848144531,49.706180572509766,64.48126983642578,65.25041198730469,9.420388221740723,66.65824127197266,39.13187026977539,45.824161529541016,16.475200653076172,101.38246154785156
2015-11-25,176.87828063964844,161.52279663085938,177.65467834472656,90.9016342163086,12.824047088623047,105.98358154296875,100.86441802978516,93.1118392944336,104.57939147949219,28.106481552124023,34.744930267333984,26.29547691345215,32.24285888671875,41.667579650878906,25.177345275878906,106.29029083251953,50.04188919067383,64.40377044677734,65.28337097167969,9.40841007232666,66.70040893554688,39.00722885131836,45.45128631591797,16.488645553588867,101.15546417236328
2015-11-27,177.08108520507812,161.6827392578125,177.8065643310547,91.0369873046875,12.831010818481445,106.13216400146484,100.91020202636719,93.2122573852539,104.97429656982422,28.099029541015625,34.595977783203125,25.720380783081055,31.639118194580078,41.69743728637695,25.251266479492188,106.47001647949219,50.17961502075195,64.489013671875,65.41519927978516,9.415596008300781,66.68353271484375,39.09626007080078,45.1250114440918,16.528993606567383,101.3279800415039
2015-11-30,176.34588623046875,161.0263671875,177.09774780273438,90.64790344238281,12.765725135803223,105.86289978027344,100.21434783935547,92.57323455810547,104.51795959472656,28.061880111694336,34.61085891723633,25.75821876525879,31.616186141967773,41.667579650878906,25.124059677124023,106.1362533569336,49.968727111816406,64.34185028076172,65.02794647216797,9.394035339355469,66.56546783447266,39.140785217285156,45.291473388671875,16.515539169311523,101.47321319580078
2015-12-01,178.0275421142578,162.5830535888672,178.83604431152344,91.50221252441406,12.898909568786621,106.92134857177734,101.15738677978516,93.44964599609375,105.21122741699219,28.366653442382812,34.96836853027344,25.90955924987793,31.868383407592773,42.13768005371094,25.326900482177734,107.14614868164062,50.3388786315918,65.03118896484375,65.51407623291016,9.47309684753418,67.1810531616211,39.4880256652832,45.651039123535156,16.697105407714844,102.38111114501953
2015-12-02,176.21072387695312,160.86647033691406,176.9880828857422,90.54639434814453,12.788359642028809,106.26213836669922,100.22348022460938,92.74667358398438,104.07918548583984,28.069303512573242,34.588523864746094,25.652271270751953,31.516843795776367,41.704891204833984,25.04155731201172,105.77678680419922,49.88265609741211,64.2643814086914,65.077392578125,9.38924503326416,66.29564666748047,39.238731384277344,44.23942947387695,16.502094268798828,101.83637237548828
2015-12-03,173.74325561523438,158.5778350830078,174.47340393066406,89.19304656982422,12.615127563476562,104.46092987060547,98.63031005859375,91.3589859008789,102.32404327392578,27.935503005981445,34.43210983276367,25.576602935791016,31.348705291748047,41.48849105834961,24.623851776123047,104.21908569335938,49.099342346191406,63.39689254760742,64.4181900024414,9.27663803100586,65.35122680664062,38.731204986572266,43.35383224487305,16.233112335205078,100.42008972167969
2015-12-04,177.13182067871094,161.6911163330078,177.88246154785156,90.83399200439453,12.896299362182617,106.90278625488281,100.54395294189453,93.29444885253906,103.35954284667969,28.136201858520508,34.71513748168945,25.674976348876953,31.547409057617188,41.869056701660156,24.931537628173828,105.91371154785156,49.59859085083008,64.63615417480469,65.5717544555664,9.444345474243164,66.38842010498047,39.68391799926758,43.080841064453125,16.663490295410156,102.60806274414062
2015-12-07,176.05860900878906,160.6729736328125,176.7855224609375,90.12350463867188,12.828400611877441,106.41999053955078,99.88469696044922,92.8105697631836,101.80626678466797,27.905771255493164,34.357643127441406,25.31175994873047,31.0506649017334,41.63027572631836,24.668546676635742,104.97224426269531,48.85401916503906,64.21791076660156,65.39872741699219,9.398824691772461,65.85713958740234,39.4880256652832,41.44283676147461,16.508817672729492,101.9453353881836
